country,year,level,metric,score
Ghana,2024,pillar,Data and Infrastructure,45.03175151
Ghana,2024,dimension,Vision,100.0
Ghana,2024,dimension,Governance and Ethics,61.72583228
Ghana,2024,dimension,Digital Capacity,42.67034137
Ghana,2024,dimension,Adaptability,33.70878369
Ghana,2024,dimension,Maturity,6.893477458
Ghana,2024,dimension,Innovation Capacity,43.54729969
Ghana,2024,dimension,Human Capital,25.60127687
Ghana,2024,dimension,Infrastructure,31.01739528
Ghana,2024,dimension,Data Availability,42.03175146
Benin,2024,overall,Overall,42.96796567
Benin,2024,pillar,Government,59.91827431
Benin,2024,pillar,Technology Sector,24.30256725
Benin,2024,pillar,Data and Infrastructure,44.68305544
Benin,2024,dimension,Vision,100.0
Benin,2024,dimension,Governance and Ethics,56.21316266
Benin,2024,dimension,Digital Capacity,43.51513442
Benin,2024,dimension,Adaptability,39.94480016
Benin,2024,dimension,Maturity,5.992781233
Benin,2024,dimension,Innovation Capacity,36.78841809
Benin,2024,dimension,Human Capital,30.12650243
Benin,2024,dimension,Infrastructure,26.59020079
Benin,2024,dimension,Data Availability,47.41968283
Morocco,2024,overall,Overall,41.77772556
Morocco,2024,pillar,Government,34.81714719
Morocco,2024,pillar,Technology Sector,36.69524288
Morocco,2024,pillar,Data and Infrastructure,53.82078661
Morocco,2024,dimension,Vision,0.0
Morocco,2024,dimension,Governance and Ethics,56.94542181
Morocco,2024,dimension,Digital Capacity,38.9642475
Morocco,2024,dimension,Adaptability,43.35891944
Morocco,2024,dimension,Maturity,19.64301729
Morocco,2024,dimension,Innovation Capacity,49.81559988
Morocco,2024,dimension,Human Capital,40.62711147
Morocco,2024,dimension,Infrastructure,37.96524035
Morocco,2024,dimension,Data Availability,51.27588538
Cote d'Ivoire,2024,overall,Overall,34.68702416
Cote d'Ivoire,2024,pillar,Government,31.14686493
Cote d'Ivoire,2024,pillar,Technology Sector,26.09983159
Cote d'Ivoire,2024,pillar,Data and Infrastructure,46.81437596
Cote d'Ivoire,2024,dimension,Vision,0.0
Cote d'Ivoire,2024,dimension,Governance and Ethics,53.55253818
Cote d'Ivoire,2024,dimension,Digital Capacity,34.20874106
Cote d'Ivoire,2024,dimension,Adaptability,36.82618047
Cote d'Ivoire,2024,dimension,Maturity,8.260002397
Cote d'Ivoire,2024,dimension,Innovation Capacity,37.02558891
Cote d'Ivoire,2024,dimension,Human Capital,33.01390347
Cote d'Ivoire,2024,dimension,Infrastructure,31.64143793
Cote d'Ivoire,2024,dimension,Data Availability,44.837767
Zimbabwe,2024,overall,Overall,32.59211942
Zimbabwe,2024,pillar,Government,23.6941344
Zimbabwe,2024,pillar,Technology Sector,27.81535935
Zimbabwe,2024,pillar,Data and Infrastructure,46.26686451
Zimbabwe,2024,dimension,Vision,0.0
Zimbabwe,2024,dimension,Governance and Ethics,36.40736052
Zimbabwe,2024,dimension,Digital Capacity,28.30659123
Zimbabwe,2024,dimension,Adaptability,30.06258586
Zimbabwe,2024,dimension,Maturity,11.16766135
Zimbabwe,2024,dimension,Innovation Capacity,34.4042605
Zimbabwe,2024,dimension,Human Capital,37.87415619
Zimbabwe,2024,dimension,Infrastructure,21.91856478
Zimbabwe,2024,dimension,Data Availability,53.03645009
